,oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
0,Florida Int'l Golden Panthers,Kennesaw State Owls,DraftKings,80.5,77.0,NCAAB,-162.0,136.0,3.5,-110.0,-110.0,157.5,-112.0,-108.0,FIU,KENN,74.67822803024484,83.02348526654791,Florida Int'l Golden Panthers,Kennesaw State Owls,21.80901954085358,15.172657111050912,2024.0,0.32856700000000005,0.6711790000000001,0.5045189999999999,0.495227,0.377526,0.622474,0.21660999999999997,0.111957,0.287909,0.38326999999999994,0.23993000000000003,0.130394,0.25653200000000004,0.35848599999999997,0.0,0.041757,0.0,0.0,0.02332,0.018437000000000002,-0.4100092999999999,0.0,0.30947590000000014,0.08706848425528191,-0.05041972000000006,0.0,-0.04992784000000006,0.0,-0.63088188,0.0,0.34488135294117644,0.16176268074488945,-0.08353942528735636,0.0,0.015077199233716476,0.0005933102548736023,-0.21940232835820897,0.0,0.15314686567164174,0.06285661940632833,-0.12903601941747572,0.0,0.042276092219020206,0.0062018198673895325,-0.2817415450236967,0.0,0.17777783098591546,0.11219759802470133
1,Chattanooga Mocs,SE Missouri State Redhawks,DraftKings,81.5,68.5,NCAAB,-1200.0,750.0,13.0,-110.0,-110.0,150.0,-110.0,-110.0,UTC,SEMO,98.0549190855453,45.91430531044168,Chattanooga Mocs,SE Missouri State Redhawks,13.490737563232042,16.852299546352718,2024.0,0.9622980000000001,0.033835000000000004,0.39253499999999997,0.588908,0.9918720000000001,0.008127999999999913,0.371073,0.57353,0.019457000000000002,0.013721,0.387318,0.5858519999999999,0.004619000000000001,0.0026660000000000004,0.0,0.025396999999999996,0.0,0.0,0.01424,0.010665000000000001,0.9208258000000002,0.7708365035869459,-1.0289465,0.0,-0.2756765000000001,0.0,0.13670679999999996,0.01698977196930909,0.8943360000000011,0.06665307340800002,-0.12412160000000011,0.0,0.13284307575757576,0.04658882653057514,-0.35196080303030297,0.0,0.4119883333333333,0.44809878115933327,-0.3598695303030303,0.0,-0.1852819999999999,0.0,-0.06073759881812213,0.0,0.19879779439252326,0.04228700246920522,-0.06281883256730138,0.0
2,Montana State Bobcats,Long Beach State 49ers,DraftKings,71.0,75.0,NCAAB,145.0,-175.0,-4.0,-110.0,-110.0,146.0,-110.0,-110.0,MTST,LBSU,72.01311959184305,62.55559342506539,Montana State Bobcats,Long Beach State 49ers,21.62582230751447,14.315659091990677,2024.0,0.6937160000000001,0.29264999999999997,0.323743,0.662096,0.6445580000000001,0.3554419999999999,0.271846,0.411221,0.048824,0.24085399999999998,0.257789,0.3696100000000001,0.06231099999999999,0.28198199999999995,0.041907,0.0,0.010413999999999998,0.031107,0.0,0.0,0.3568036000000002,0.11573528088450927,-0.48543500000000006,0.0,-0.4201397,0.0,0.29040160000000004,0.07666644480232727,0.39942558620689667,0.23133415842924845,-0.7725345000000002,0.0,-0.003969909090909107,0.0,-0.3114699393939394,0.0,0.18819865151515155,0.09350545362080064,-0.04670130303030304,0.0,0.05610122826086958,0.011582239949551732,-0.4065335,0.0,0.19830836956521752,0.14472045073778278,-0.07702700000000007,0.0
3,Seattle Redhawks,UC San Diego Tritons,DraftKings,73.75,65.75,NCAAB,-395.0,310.0,8.0,-112.0,-108.0,139.5,-110.0,-110.0,SEA,UCSD,62.85541512391428,67.48824020878929,Seattle Redhawks,UC San Diego Tritons,19.22238278674109,21.05469068877527,2024.0,0.320463,0.66658,0.377619,0.622253,0.4345085,0.5654915,0.10927899999999999,0.21118399999999998,0.263652,0.402928,0.14806399999999997,0.279379,0.224318,0.33397999999999994,0.0,0.094151,0.0,0.0,0.034096999999999995,0.060054,-0.44061844,0.0,0.3064863999999999,0.08697584572681477,-0.30700010000000016,0.0,0.2067312999999999,0.03885257309062723,-1.799182925,0.0,0.4253274677419355,0.5608007099288783,-0.23199341379310348,0.0,-0.011104716417910443,0.0,-0.09104435249042148,0.0,0.18013994029850747,0.08696706688320958,-0.4648395971223023,0.0,0.11074816105417276,0.08377100985809714,-0.23905337410071942,0.0,0.23646609077598824,0.38190772855337607
4,Pacific Tigers,Mississippi Valley State Delta Devils,DraftKings,80.5,59.5,NCAAB,-8929.0,2200.0,21.0,-110.0,-110.0,140.0,-110.0,-110.0,PAC,MVSU,71.78489888219873,67.95492304903634,Pacific Tigers,Mississippi Valley State Delta Devils,16.983605540133613,18.088012341774604,2024.0,0.23764700000000002,0.749547,0.488138,0.4956610000000001,0.560949,0.43905099999999997,0.108514,0.125207,0.37354699999999996,0.36385599999999996,0.260251,0.28394800000000003,0.22015400000000002,0.203984,0.0,0.302649,0.0,0.0,0.14566,0.152143,-0.6009412999999999,0.0,0.47404869999999993,0.20429288179244542,-0.0749102000000001,0.0,-0.05911189999999983,0.0,-38.641914789999994,0.0,0.4135533181818182,3.762579633542227,-0.2291700909090909,0.0,0.13625419696969693,0.04901214434650239,-0.2061539848484848,0.0,0.12289236363636358,0.039870687225949046,-0.5351780322580645,0.0,0.20198000792356097,1.7505530817104031,-0.486000387096774,0.0,0.18543317268701934,1.4754801543713294
5,Nebraska Cornhuskers,CSU Fullerton Titans,DraftKings,79.5,61.0,NCAAB,-5000.0,1800.0,18.5,-108.0,-112.0,140.5,-112.0,-108.0,NEB,CSUF,96.96857718260522,29.197657670487917,Nebraska Cornhuskers,CSU Fullerton Titans,17.896927110540513,17.622901766356943,2024.0,0.9684300000000001,0.031355,0.3579,0.641885,0.9955430000000001,0.004456999999999933,0.34943699999999994,0.6189929999999999,0.008463,0.022892000000000003,0.35672600000000004,0.63855,0.001036,0.002939,0.0,0.026846000000000002,0.0,0.0,0.0072889999999999995,0.019557000000000005,0.9343344000000002,0.8083155287253339,-1.0535274,0.0,-0.361252,0.0,0.2551208000000001,0.06026539128948153,0.7726930000000034,0.011941089444980084,-0.05085094444444452,0.0,0.10394152830188672,0.028630179460189586,-0.37585366666666664,0.0,0.47840001107011054,0.620228406304,-0.34582799999999997,0.0,-0.3349664731182794,0.0,-0.027538485125858124,0.0,0.2620395833333332,0.06591815350416662,-0.025076200899128966,0.0
6,Siena Saints,Albany Great Danes,DraftKings,69.5,71.5,NCAAB,110.0,-130.0,-2.0,-105.0,-115.0,141.0,-110.0,-110.0,SIE,ALB,62.15593070308316,78.33189264900881,Siena Saints,Albany Great Danes,17.378147196982766,13.23631368621944,2024.0,0.250944,0.7339709999999998,0.482251,0.49916999999999995,0.229634,0.770366,0.15496100000000002,0.09136499999999999,0.318995,0.40131199999999995,0.139114,0.07947599999999999,0.335151,0.41374599999999995,0.014342999999999995,0.0,0.007861,0.005941,0.0,0.0,-0.5355648,0.0,0.4280376499999996,0.15931846071088884,-0.0872729000000001,0.0,-0.05174300000000015,0.0,-0.4706987272727272,0.0,0.4718418,0.17125744940556922,-0.1545770952380952,0.0,0.05401250972762639,0.0074975926021877285,-0.24146833333333334,0.0,0.16835947081712052,0.0728464223335196,-0.1468946378737542,0.0,0.055802680672268845,0.007411175225102669,-0.22634592691029903,0.0,0.1674207899159663,0.06671073573268495
7,Los Angeles Chargers,Baltimore Ravens,DraftKings,22.75,25.75,NFL,140.0,-166.0,-3.0,-108.0,-112.0,48.5,-110.0,-110.0,LAC,BAL,16.628274996325814,42.14686265666552,Los Angeles Chargers,Baltimore Ravens,12.000547125574371,13.332045392340756,2023.0,0.12314099999999997,0.8664630000000001,0.6725570000000001,0.327431,0.10768599999999998,0.892314,0.122866,0.0002750000000000002,0.539389,0.327074,0.101826,7.299999999999999e-05,0.5592519999999999,0.32726299999999997,0.009667999999999998,0.0,0.009561,0.00010699999999999999,0.0,0.0,-0.8238667200000002,0.0,0.7169015600000002,0.4588820060093159,0.31236970000000014,0.08870439043462737,-0.4123949,0.0,-0.529681142857143,0.0,0.7135552400000001,0.3067235424888299,-0.2044228059701492,0.0,0.36290968965517245,0.34374598582705135,-0.3727567164179104,0.0,0.06924794636015319,0.012515675776007495,-0.14906059217877096,0.0,0.34529666019417454,0.24561335409497753,-0.27923621787709496,0.0,0.0006916407766989763,9.854359458251773e-07
8,UNC Asheville Bulldogs,Western Kentucky Hilltoppers,DraftKings,74.25,77.25,NCAAB,124.0,-148.0,-3.0,-110.0,-110.0,151.5,-110.0,-110.0,UNCA,WKU,63.37542296383718,88.47920593091693,UNC Asheville Bulldogs,Western Kentucky Hilltoppers,23.37947818066092,21.32447732849116,2024.0,0.241564,0.748314,0.5138560000000001,0.486103,0.21749349999999998,0.7825065,0.13356300000000002,0.10800099999999999,0.374991,0.373323,0.11819299999999998,0.094575,0.39057200000000003,0.387168,0.019344999999999998,0.0,0.010279,0.009065999999999998,0.0,0.0,-0.5927156,0.0,0.4714594000000001,0.2020672416803273,-0.020902399999999877,0.0,-0.07918370000000002,0.0,-0.41356012903225803,0.0,0.46061611999999996,0.14335622297557732,-0.19463283333333328,0.0,0.13824516666666672,0.05045495692167337,-0.22987740909090906,0.0,0.13594534848484854,0.048790203725120634,-0.15065059756097565,0.0,0.11355927272727279,0.02837055852916368,-0.18146920731707317,0.0,0.10860800000000004,0.02595053486080002
9,UIC Flames,UNC Greensboro Spartans,DraftKings,69.0,71.0,NCAAB,105.0,-125.0,-2.0,-110.0,-110.0,140.0,-110.0,-110.0,UIC,UNCG,74.58977852735039,69.78204918618191,UIC Flames,UNC Greensboro Spartans,15.96871942267131,17.82881562714323,2024.0,0.603677,0.380141,0.5643800000000001,0.41904,0.5793275000000001,0.4206724999999999,0.32430000000000003,0.269494,0.231004,0.14318,0.30557500000000004,0.256195,0.249518,0.156266,0.016158000000000002,0.0,0.009437999999999997,0.00672,0.0,0.0,0.16772170000000003,0.02557324422808183,-0.30170389999999997,0.0,0.08519800000000022,0.00659881745818185,-0.22001599999999993,0.0,0.17868702380952406,0.033525505101800676,-0.30348687500000016,0.0,0.06835303030303036,0.012334441024242438,-0.060282363636363634,0.0,-0.007212818181818126,0.0,-0.18137303030303029,0.0,0.06694097938144336,0.013039985636791268,-0.05805659016393441,0.0,0.0005919072164948247,1.0195305850516013e-06,-0.1895266229508197,0.0
10,Denver Broncos,Cleveland Browns,DraftKings,19.25,17.75,NFL,-122.0,102.0,1.5,-108.0,-112.0,37.0,-110.0,-110.0,DEN,CLE,17.214848234852386,20.271669387511828,Denver Broncos,Cleveland Browns,15.14412243890165,19.73631734195167,2023.0,0.42735699999999993,0.572659,0.38397800000000004,0.5928439999999999,0.48396999999999996,0.51603,0.18321400000000002,0.233038,0.200764,0.35980599999999996,0.185681,0.24449999999999997,0.19313,0.26817500000000005,0.0,0.013944999999999999,0.0,0.0,0.002467,0.011461999999999998,-0.19109744000000012,0.0,0.0940370800000001,0.007895511084755722,-0.29364619999999997,0.0,0.14497239999999983,0.019106360692509046,-0.14558660000000007,0.0,0.041549607843137215,0.0017608973101568607,-0.12155689552238805,0.0,-0.10545668965517246,0.0,-0.053141850746268676,0.0,0.11452094252873557,0.034230270784718575,-0.14400280566801618,0.0,-0.08899237762237763,0.0,-0.06137044534412958,0.0,0.012292132867132932,0.00043213607701049326
11,Coastal Carolina Chanticleers,North Carolina Central Eagles,DraftKings,74.75,70.75,NCAAB,-175.0,145.0,4.0,-112.0,-108.0,145.5,-110.0,-110.0,CCU,NCCU,80.38716303443611,68.380688477119,Coastal Carolina Chanticleers,North Carolina Central Eagles,17.494556976657734,24.587307991842344,2024.0,0.592667,0.394296,0.550865,0.449038,0.649822,0.350178,0.277897,0.31477,0.265332,0.128964,0.307914,0.335683,0.235394,0.10846199999999999,0.0,0.037989999999999996,0.0,0.0,0.022381,0.015608999999999998,0.13645404000000017,0.016624736636001444,-0.25986432000000004,0.0,0.0568165000000001,0.002934649702045469,-0.1570202,0.0,0.037010499999999946,0.0007827297772857109,-0.09797510344827587,0.0,0.0012291839080459943,3.943430938275862e-06,-0.008797850746268598,0.0,0.05222977011494251,0.0071199465931379305,-0.1960494328358209,0.0,-0.03812899999999997,0.0,0.027620630434782606,0.0028074691502626052,0.003524499999999986,2.4844200500000193e-05,-0.13380376086956525,0.0
12,Middle Tennessee Blue Raiders,Kansas City Roos,DraftKings,65.75,59.25,NCAAB,-285.0,230.0,6.5,-110.0,-110.0,125.0,-110.0,-110.0,MTSU,KC,85.02915639181931,46.92862186611284,Middle Tennessee Blue Raiders,Kansas City Roos,27.86549325394608,16.144142384571975,2024.0,0.83734,0.162477,0.590301,0.39727200000000007,0.8835465,0.11645349999999999,0.5450929999999999,0.281898,0.045208,0.11537399999999999,0.560145,0.309176,0.028038999999999998,0.083582,0.0,0.042891,0.0,0.0,0.015052,0.027278,0.6584139999999999,0.3940990867236363,-0.7587983,0.0,0.13963209999999993,0.017724657591281813,-0.2657287999999999,0.0,0.551654025,0.10677970642059677,-0.2676971521739131,0.0,0.3727797424242424,0.3668669039953751,-0.3164556363636364,0.0,0.00988966666666663,0.00025820653789333103,-0.21971160606060608,0.0,0.28175575949367093,0.12543036665241142,-0.1553498679245283,0.0,-0.12805437974683542,0.0,-0.08932705660377359,0.0
13,Kent State Golden Flashes,Charleston Cougars,DraftKings,77.5,71.0,NCAAB,-290.0,235.0,6.5,-112.0,-108.0,148.5,-110.0,-110.0,KENT,COFC,83.17123214149356,69.28358497138748,Kent State Golden Flashes,Charleston Cougars,21.63947011057957,22.54033421816692,2024.0,0.591088,0.40888899999999995,0.554769,0.445208,0.6697665,0.33023349999999996,0.32305199999999995,0.26803600000000005,0.231717,0.17717200000000002,0.363517,0.30037600000000003,0.18475799999999998,0.139579,0.0,0.072805,0.0,0.0,0.040465,0.03234,0.13310655999999993,0.01581906813842282,-0.22951088000000008,0.0,0.06501489999999988,0.003842670201827258,-0.16506320000000002,0.0,-0.2879106499999998,0.0,0.045226478723404184,0.004806770787638554,0.06368495019157078,0.010585567219156437,-0.05495576119402984,0.0,-0.012409977011494211,0.0,-0.1298533731343283,0.0,-0.041886184713375796,0.0,0.03378725925925924,0.006164525996562953,-0.14524438216560503,0.0,-0.019758222222222205,0.0
14,Brooklyn Nets,Chicago Bulls,DraftKings,109.0,105.5,NBA,-148.0,124.0,3.5,-110.0,-110.0,214.5,-110.0,-110.0,BKN,CHI,115.30256801994238,104.03167130902696,Brooklyn Nets,Chicago Bulls,15.690573135690046,16.949979167964802,2024.0,0.6219919999999999,0.377976,0.6036849999999998,0.39628300000000005,0.679286,0.32071400000000005,0.36970800000000004,0.252284,0.23397700000000002,0.14399900000000002,0.39919000000000004,0.272096,0.195072,0.11760999999999999,0.0,0.049294,0.0,0.0,0.029481999999999998,0.019812000000000003,0.20618319999999973,0.03864682905658171,-0.30625040000000003,0.0,0.16773849999999957,0.025578367620227162,-0.2678056999999999,0.0,0.20462927999999986,0.02829266367116103,-0.22709729032258053,0.0,0.13096103030303036,0.04527808944920246,-0.05618322727272726,0.0,-0.030941757575757567,0.0,-0.180243803030303,0.0,0.12609454545454551,0.0349796356654546,-0.050332878048780505,0.0,-0.058769454545454514,0.0,-0.15141134146341467,0.0
15,Indianapolis Colts,Tampa Bay Buccaneers,DraftKings,24.0,21.5,NFL,-155.0,130.0,2.5,-118.0,-102.0,45.5,-110.0,-110.0,IND,TB,23.436468218047786,17.557457365556616,Indianapolis Colts,Tampa Bay Buccaneers,11.979612310551252,14.686350427825454,2023.0,0.591845,0.408174,0.35202100000000003,0.647998,0.6373270000000001,0.3626729999999999,0.18217400000000006,0.40967100000000006,0.169847,0.238327,0.18686499999999998,0.42778599999999994,0.159585,0.18043100000000004,0.0,0.022806,0.0,0.0,0.004691000000000001,0.018115,0.11022209999999988,0.010295687566449123,-0.19548852,0.0,-0.3607559,0.0,0.2607957999999999,0.06183131754330909,0.07518385000000016,0.0036468460005306654,-0.1275785384615386,0.0,-0.14107738339920944,0.0,-0.12876918705035975,0.0,0.1763393794466404,0.07867180916137433,-0.0356560935251799,0.0,-0.19310462616822435,0.0,-0.08832502949852505,0.0,0.16039628037383175,0.05505570886160821,-0.06132976696165188,0.0
16,UC Davis Aggies,Sacramento State Hornets,DraftKings,75.25,66.25,NCAAB,-455.0,350.0,9.0,-110.0,-110.0,141.5,-110.0,-110.0,UCD,SAC,91.49894118854908,55.95163945087588,UC Davis Aggies,Sacramento State Hornets,14.155093311831848,29.714755032923737,2024.0,0.7662869999999999,0.224019,0.624431,0.375399,0.8473044999999999,0.1526955000000001,0.41527300000000006,0.35101400000000005,0.20148,0.022539,0.47989200000000004,0.363687,0.138037,0.010763,0.0,0.067768,0.0,0.0,0.056941,0.010827,0.5092026999999999,0.23571580880662718,-0.6295601000000001,0.0,0.2113050999999999,0.040590768441827255,-0.3116621,0.0,0.1525399749999995,0.005113943730329795,-0.08939149999999987,0.0,0.19378550000000008,0.0991394448270601,-0.10098969696969695,0.0,0.10518596969696978,0.029209192903682464,-0.3477113787878788,0.0,0.08883335338345871,0.010495515015556114,0.024471387351778645,0.004545262383808809,-0.11474382706766917,0.0,-0.11957125559947301,0.0
