SEA,SF,probability
33,16,2.11E-07
29,18,2.08E-07
48,16,2.04E-07
35,18,1.96E-07
51,16,1.79E-07
11,16,1.77E-07
28,70,1.75E-07
29,16,1.73E-07
5,50,1.71E-07
18,18,1.71E-07
42,18,1.65E-07
35,16,1.63E-07
54,18,1.60E-07
38,70,1.45E-07
22,70,1.45E-07
18,16,1.42E-07
8,17,1.41E-07
42,16,1.38E-07
50,17,1.37E-07
54,16,1.33E-07
3,17,1.33E-07
37,70,1.32E-07
41,70,1.30E-07
44,18,1.30E-07
26,70,1.26E-07
40,18,1.24E-07
36,18,1.18E-07
5,56,1.15E-07
12,70,1.13E-07
44,16,1.08E-07
25,70,1.03E-07
40,16,1.03E-07
32,18,1.03E-07
15,70,1.02E-07
45,70,1.01E-07
36,16,9.80E-08
13,15,9.42E-08
10,15,8.80E-08
33,70,8.62E-08
32,16,8.53E-08
48,70,8.33E-08
17,15,8.23E-08
5,19,7.88E-08
20,15,7.67E-08
51,70,7.32E-08
11,70,7.21E-08
29,70,7.07E-08
35,70,6.66E-08
13,14,6.62E-08
56,18,6.61E-08
10,14,6.19E-08
18,70,5.79E-08
17,14,5.78E-08
42,70,5.61E-08
56,16,5.50E-08
70,18,5.45E-08
54,70,5.44E-08
20,14,5.39E-08
47,18,5.34E-08
16,15,5.13E-08
39,18,4.92E-08
24,15,4.71E-08
70,16,4.53E-08
47,16,4.44E-08
44,70,4.40E-08
49,18,4.36E-08
40,70,4.19E-08
27,15,4.12E-08
39,16,4.09E-08
43,18,4.03E-08
36,70,4.00E-08
14,15,3.63E-08
49,16,3.63E-08
16,14,3.60E-08
5,17,3.51E-08
32,70,3.48E-08
43,16,3.35E-08
24,14,3.31E-08
23,15,3.07E-08
27,14,2.90E-08
8,18,2.65E-08
50,18,2.59E-08
14,14,2.55E-08
3,18,2.51E-08
31,15,2.49E-08
56,70,2.24E-08
21,15,2.24E-08
34,15,2.23E-08
8,16,2.21E-08
23,14,2.16E-08
50,16,2.15E-08
6,15,2.11E-08
3,16,2.09E-08
13,13,2.04E-08
19,15,1.95E-08
10,13,1.91E-08
30,15,1.89E-08
9,15,1.88E-08
70,70,1.85E-08
47,70,1.81E-08
7,15,1.80E-08
17,13,1.79E-08
31,14,1.75E-08
39,70,1.67E-08
20,13,1.66E-08
21,14,1.58E-08
34,14,1.57E-08
6,14,1.48E-08
49,70,1.48E-08
28,15,1.42E-08
19,14,1.37E-08
43,70,1.37E-08
30,14,1.33E-08
9,14,1.32E-08
7,14,1.27E-08
38,15,1.17E-08
22,15,1.17E-08
16,13,1.11E-08
37,15,1.07E-08
41,15,1.05E-08
24,13,1.02E-08
26,15,1.02E-08
28,14,9.95E-09
12,15,9.14E-09
8,70,9.00E-09
27,13,8.95E-09
50,70,8.78E-09
3,70,8.51E-09
25,15,8.34E-09
15,15,8.26E-09
38,14,8.25E-09
22,14,8.22E-09
45,15,8.15E-09
14,13,7.89E-09
37,14,7.49E-09
41,14,7.40E-09
26,14,7.16E-09
33,15,6.96E-09
48,15,6.72E-09
23,13,6.66E-09
5,18,6.62E-09
12,14,6.42E-09
51,15,5.91E-09
25,14,5.86E-09
11,15,5.82E-09
15,14,5.80E-09
45,14,5.73E-09
29,15,5.71E-09
5,16,5.50E-09
31,13,5.41E-09
35,15,5.38E-09
33,14,4.89E-09
21,13,4.87E-09
34,13,4.84E-09
48,14,4.72E-09
18,15,4.67E-09
6,13,4.59E-09
42,15,4.53E-09
54,15,4.39E-09
19,13,4.24E-09
51,14,4.15E-09
30,13,4.09E-09
11,14,4.09E-09
9,13,4.08E-09
29,14,4.01E-09
7,13,3.91E-09
35,14,3.78E-09
44,15,3.55E-09
40,15,3.38E-09
18,14,3.28E-09
36,15,3.23E-09
42,14,3.18E-09
54,14,3.08E-09
28,13,3.07E-09
32,15,2.81E-09
38,13,2.55E-09
22,13,2.54E-09
44,14,2.50E-09
40,14,2.38E-09
37,13,2.32E-09
41,13,2.29E-09
36,14,2.27E-09
5,70,2.25E-09
26,13,2.21E-09
12,13,1.98E-09
32,14,1.97E-09
56,15,1.81E-09
25,13,1.81E-09
15,13,1.79E-09
45,13,1.77E-09
33,13,1.51E-09
70,15,1.49E-09
47,15,1.46E-09
48,13,1.46E-09
39,15,1.35E-09
51,13,1.28E-09
56,14,1.27E-09
11,13,1.26E-09
29,13,1.24E-09
49,15,1.19E-09
35,13,1.17E-09
43,15,1.10E-09
70,14,1.05E-09
47,14,1.03E-09
18,13,1.01E-09
42,13,9.83E-10
54,13,9.53E-10
39,14,9.48E-10
49,14,8.39E-10
43,14,7.75E-10
44,13,7.71E-10
40,13,7.34E-10
8,15,7.27E-10
50,15,7.09E-10
36,13,7.01E-10
3,15,6.87E-10
32,13,6.10E-10
8,14,5.11E-10
50,14,4.98E-10
3,14,4.83E-10
56,13,3.93E-10
70,13,3.24E-10
47,13,3.18E-10
39,13,2.93E-10
49,13,2.59E-10
43,13,2.39E-10
5,15,1.81E-10
13,12,1.66E-10
8,13,1.58E-10
10,12,1.55E-10
50,13,1.54E-10
3,13,1.49E-10
17,12,1.45E-10
20,12,1.35E-10
5,14,1.27E-10
16,12,9.04E-11
24,12,8.30E-11
27,12,7.27E-11
14,12,6.41E-11
23,12,5.41E-11
31,12,4.40E-11
21,12,3.96E-11
5,13,3.93E-11
34,12,3.93E-11
6,12,3.73E-11
19,12,3.44E-11
30,12,3.33E-11
9,12,3.32E-11
7,12,3.18E-11
28,12,2.50E-11
38,12,2.07E-11
22,12,2.06E-11
37,12,1.88E-11
41,12,1.86E-11
26,12,1.80E-11
12,12,1.61E-11
25,12,1.47E-11
15,12,1.46E-11
45,12,1.44E-11
33,12,1.23E-11
48,12,1.19E-11
51,12,1.04E-11
11,12,1.03E-11
29,12,1.01E-11
35,12,9.48E-12
18,12,8.24E-12
42,12,7.99E-12
54,12,7.74E-12
44,12,6.27E-12
40,12,5.97E-12
13,11,5.75E-12
36,12,5.70E-12
10,11,5.38E-12
17,11,5.03E-12
32,12,4.95E-12
20,11,4.68E-12
56,12,3.20E-12
16,11,3.13E-12
24,11,2.87E-12
13,10,2.77E-12
70,12,2.63E-12
10,10,2.59E-12
47,12,2.58E-12
27,11,2.52E-12
17,10,2.42E-12
39,12,2.38E-12
20,10,2.26E-12
14,11,2.22E-12
49,12,2.11E-12
43,12,1.95E-12
23,11,1.87E-12
31,11,1.52E-12
16,10,1.51E-12
24,10,1.39E-12
21,11,1.37E-12
34,11,1.36E-12
6,11,1.29E-12
8,12,1.28E-12
50,12,1.25E-12
27,10,1.21E-12
3,12,1.21E-12
19,11,1.19E-12
30,11,1.15E-12
9,11,1.15E-12
7,11,1.10E-12
14,10,1.07E-12
23,10,9.04E-13
28,11,8.65E-13
31,10,7.34E-13
38,11,7.17E-13
22,11,7.14E-13
21,10,6.60E-13
34,10,6.56E-13
37,11,6.51E-13
41,11,6.43E-13
26,11,6.22E-13
6,10,6.22E-13
19,10,5.75E-13
12,11,5.58E-13
30,10,5.55E-13
9,10,5.54E-13
7,10,5.31E-13
25,11,5.09E-13
15,11,5.04E-13
45,11,4.98E-13
33,11,4.25E-13
28,10,4.17E-13
48,11,4.10E-13
51,11,3.61E-13
11,11,3.55E-13
29,11,3.48E-13
38,10,3.46E-13
22,10,3.44E-13
35,11,3.28E-13
5,12,3.20E-13
37,10,3.14E-13
41,10,3.10E-13
26,10,3.00E-13
18,11,2.85E-13
42,11,2.77E-13
12,10,2.69E-13
54,11,2.68E-13
25,10,2.46E-13
15,10,2.43E-13
45,10,2.40E-13
44,11,2.17E-13
40,11,2.07E-13
33,10,2.05E-13
48,10,1.98E-13
36,11,1.97E-13
51,10,1.74E-13
32,11,1.72E-13
11,10,1.71E-13
29,10,1.68E-13
35,10,1.58E-13
18,10,1.38E-13
42,10,1.33E-13
54,10,1.29E-13
56,11,1.11E-13
44,10,1.05E-13
40,10,9.96E-14
36,10,9.51E-14
70,11,9.11E-14
47,11,8.93E-14
32,10,8.27E-14
39,11,8.24E-14
49,11,7.29E-14
43,11,6.73E-14
56,10,5.33E-14
8,11,4.44E-14
70,10,4.39E-14
50,11,4.33E-14
47,10,4.31E-14
3,11,4.19E-14
39,10,3.97E-14
49,10,3.52E-14
43,10,3.25E-14
8,10,2.14E-14
50,10,2.09E-14
3,10,2.02E-14
5,11,1.11E-14
13,9,9.60E-15
10,9,8.97E-15
17,9,8.39E-15
20,9,7.81E-15
5,10,5.34E-15
16,9,5.22E-15
24,9,4.80E-15
27,9,4.20E-15
14,9,3.70E-15
23,9,3.13E-15
31,9,2.54E-15
21,9,2.29E-15
34,9,2.27E-15
6,9,2.15E-15
19,9,1.99E-15
30,9,1.92E-15
9,9,1.92E-15
7,9,1.84E-15
28,9,1.44E-15
38,9,1.20E-15
22,9,1.19E-15
37,9,1.09E-15
41,9,1.07E-15
26,9,1.04E-15
12,9,9.31E-16
25,9,8.50E-16
15,9,8.42E-16
45,9,8.31E-16
33,9,7.09E-16
48,9,6.85E-16
51,9,6.02E-16
11,9,5.93E-16
29,9,5.82E-16
35,9,5.48E-16
18,9,4.76E-16
42,9,4.62E-16
54,9,4.47E-16
44,9,3.62E-16
40,9,3.45E-16
36,9,3.29E-16
32,9,2.86E-16
56,9,1.85E-16
70,9,1.52E-16
47,9,1.49E-16
39,9,1.37E-16
49,9,1.22E-16
43,9,1.12E-16
8,9,7.41E-17
50,9,7.22E-17
3,9,7.00E-17
5,9,1.85E-17
13,8,2.50E-18
10,8,2.34E-18
17,8,2.19E-18
20,8,2.04E-18
16,8,1.36E-18
24,8,1.25E-18
27,8,1.09E-18
14,8,9.65E-19
23,8,8.15E-19
31,8,6.62E-19
21,8,5.96E-19
34,8,5.92E-19
6,8,5.61E-19
19,8,5.18E-19
30,8,5.01E-19
9,8,5.00E-19
7,8,4.79E-19
28,8,3.76E-19
38,8,3.12E-19
22,8,3.11E-19
37,8,2.83E-19
41,8,2.80E-19
26,8,2.71E-19
12,8,2.43E-19
25,8,2.21E-19
15,8,2.19E-19
45,8,2.17E-19
33,8,1.85E-19
48,8,1.78E-19
51,8,1.57E-19
11,8,1.54E-19
29,8,1.52E-19
35,8,1.43E-19
13,7,1.31E-19
18,8,1.24E-19
10,7,1.22E-19
42,8,1.20E-19
54,8,1.17E-19
17,7,1.14E-19
20,7,1.06E-19
44,8,9.43E-20
40,8,8.98E-20
36,8,8.58E-20
32,8,7.46E-20
16,7,7.10E-20
24,7,6.53E-20
27,7,5.71E-20
14,7,5.04E-20
56,8,4.81E-20
23,7,4.25E-20
70,8,3.96E-20
47,8,3.88E-20
39,8,3.58E-20
31,7,3.46E-20
49,8,3.17E-20
21,7,3.11E-20
34,7,3.09E-20
43,8,2.93E-20
6,7,2.93E-20
19,7,2.70E-20
30,7,2.61E-20
9,7,2.61E-20
7,7,2.50E-20
28,7,1.96E-20
8,8,1.93E-20
50,8,1.88E-20
3,8,1.82E-20
38,7,1.63E-20
22,7,1.62E-20
37,7,1.48E-20
41,7,1.46E-20
26,7,1.41E-20
12,7,1.27E-20
25,7,1.16E-20
15,7,1.14E-20
45,7,1.13E-20
33,7,9.64E-21
48,7,9.31E-21
51,7,8.19E-21
11,7,8.06E-21
29,7,7.91E-21
35,7,7.45E-21
18,7,6.47E-21
42,7,6.28E-21
54,7,6.08E-21
44,7,4.92E-21
5,8,4.81E-21
40,7,4.69E-21
36,7,4.48E-21
32,7,3.89E-21
56,7,2.51E-21
70,7,2.07E-21
47,7,2.03E-21
39,7,1.87E-21
49,7,1.66E-21
43,7,1.53E-21
8,7,1.01E-21
50,7,9.82E-22
3,7,9.52E-22
5,7,2.51E-22
13,6,6.44E-23
10,6,6.02E-23
17,6,5.63E-23
20,6,5.24E-23
16,6,3.51E-23
24,6,3.22E-23
27,6,2.82E-23
14,6,2.49E-23
23,6,2.10E-23
31,6,1.71E-23
21,6,1.53E-23
34,6,1.52E-23
6,6,1.45E-23
19,6,1.34E-23
30,6,1.29E-23
9,6,1.29E-23
7,6,1.23E-23
28,6,9.69E-24
38,6,8.03E-24
22,6,8.00E-24
37,6,7.30E-24
41,6,7.20E-24
26,6,6.97E-24
12,6,6.25E-24
25,6,5.70E-24
15,6,5.65E-24
45,6,5.58E-24
33,6,4.76E-24
48,6,4.60E-24
51,6,4.04E-24
11,6,3.98E-24
29,6,3.90E-24
35,6,3.68E-24
18,6,3.19E-24
42,6,3.10E-24
54,6,3.00E-24
44,6,2.43E-24
40,6,2.31E-24
36,6,2.21E-24
32,6,1.92E-24
56,6,1.24E-24
70,6,1.02E-24
47,6,1.00E-24
39,6,9.23E-25
49,6,8.17E-25
43,6,7.54E-25
8,6,4.97E-25
50,6,4.85E-25
3,6,4.70E-25
5,6,1.24E-25
13,5,2.27E-29
10,5,2.12E-29
17,5,1.98E-29
20,5,1.84E-29
16,5,1.23E-29
24,5,1.13E-29
27,5,9.92E-30
14,5,8.74E-30
23,5,7.39E-30
31,5,6.00E-30
21,5,5.40E-30
34,5,5.36E-30
6,5,5.08E-30
19,5,4.70E-30
30,5,4.54E-30
9,5,4.53E-30
7,5,4.34E-30
28,5,3.41E-30
38,5,2.83E-30
22,5,2.81E-30
37,5,2.57E-30
41,5,2.53E-30
26,5,2.45E-30
12,5,2.20E-30
25,5,2.01E-30
15,5,1.99E-30
45,5,1.96E-30
33,5,1.67E-30
48,5,1.62E-30
51,5,1.42E-30
11,5,1.40E-30
29,5,1.37E-30
35,5,1.29E-30
18,5,1.12E-30
42,5,1.09E-30
54,5,1.06E-30
44,5,8.55E-31
40,5,8.14E-31
36,5,7.77E-31
32,5,6.76E-31
56,5,4.36E-31
70,5,3.59E-31
47,5,3.52E-31
39,5,3.25E-31
49,5,2.87E-31
43,5,2.65E-31
8,5,1.75E-31
50,5,1.70E-31
3,5,1.65E-31
5,5,4.36E-32
13,3,2.32E-43
10,3,2.17E-43
17,3,2.02E-43
20,3,1.89E-43
16,3,1.26E-43
24,3,1.16E-43
27,3,1.01E-43
14,3,8.93E-44
23,3,7.55E-44
31,3,6.13E-44
21,3,5.51E-44
34,3,5.48E-44
6,3,5.20E-44
19,3,4.80E-44
30,3,4.64E-44
9,3,4.63E-44
7,3,4.43E-44
28,3,3.48E-44
38,3,2.89E-44
22,3,2.88E-44
37,3,2.62E-44
41,3,2.59E-44
26,3,2.51E-44
12,3,2.25E-44
25,3,2.05E-44
15,3,2.03E-44
45,3,2.01E-44
33,3,1.71E-44
48,3,1.65E-44
51,3,1.45E-44
11,3,1.43E-44
29,3,1.40E-44
35,3,1.32E-44
18,3,1.15E-44
42,3,1.11E-44
54,3,1.08E-44
44,3,8.74E-45
40,3,8.32E-45
36,3,7.94E-45
32,3,6.91E-45
56,3,4.45E-45
70,3,3.67E-45
47,3,3.60E-45
39,3,3.32E-45
49,3,2.94E-45
43,3,2.71E-45
8,3,1.79E-45
50,3,1.74E-45
3,3,1.69E-45
5,3,4.46E-46
